cod_dane_mun,Departamento_ocurrencia,Municipio_ocurrencia,total_casos,pct_adolescentes,pct_hospit,pct_psiquia,casos_H1,casos_H2,pct_menores,pct_mujeres,pct_rural,tendencia_H2_H1,poblacion,tasa_x100k,tasa_x100k_norm,pct_adolescentes_norm,tendencia_H2_H1_norm,pct_hospit_norm,pct_psiquia_norm,IPI,nivel_prioridad,ranking_nacional
23678,CORDOBA,SAN CARLOS,11,0.7272727272727273,0.36363636363636365,0.0,3,8,0.7272727272727273,0.6363636363636364,0.18181818181818182,1.0,317500.0,3.4645669291338583,0.01494351590202285,0.7272727272727273,1.0,0.36363636363636365,0.0,42.34,Media,54
73030,TOLIMA,AMBALEMA,9,0.5555555555555556,0.7777777777777778,0.0,3,6,0.5555555555555556,0.7777777777777778,0.0,1.0,222667.0,4.041910116901023,0.017555327789107154,0.5555555555555556,1.0,0.7777777777777778,0.0,42.28,Media,55
68001,SANTANDER,BUCARAMANGA,606,0.26897689768976896,0.8877887788778878,0.18811881188118812,323,283,0.2854785478547855,0.5478547854785478,0.0016501650165016502,-0.1238390092879257,600000.0,101.0,0.45617883122913305,0.26897689768976896,0.43808049535603716,0.8877887788778878,0.18811881188118812,42.21,Media,56
13873,BOLIVAR,VILLANUEVA,12,0.5,0.75,0.16666666666666666,2,10,0.5,0.6666666666666666,0.0,1.0,620000.0,1.935483870967742,0.008026179052335993,0.5,1.0,0.75,0.16666666666666666,41.95,Media,57
17001,CALDAS,MANIZALES,591,0.21658206429780033,0.7326565143824028,0.02030456852791878,339,252,0.2233502538071066,0.6159052453468697,0.03722504230118443,-0.25663716814159293,435000.0,135.86206896551724,0.6138894755421502,0.21658206429780033,0.37168141592920356,0.7326565143824028,0.02030456852791878,41.86,Media,58
15572,BOYACA,PUERTO BOYACA,55,0.38181818181818183,0.6,0.0,18,37,0.4,0.6363636363636364,0.05454545454545454,1.0,142000.0,38.732394366197184,0.17448974920565022,0.38181818181818183,1.0,0.6,0.0,41.65,Media,59
13430,BOLIVAR,MAGANGUE,69,0.6811594202898551,0.2608695652173913,0.043478260869565216,29,40,0.7246376811594203,0.6956521739130435,0.0,0.3793103448275862,140000.0,49.285714285714285,0.2222313472672771,0.6811594202898551,0.6896551724137931,0.2608695652173913,0.043478260869565216,41.64,Media,60
15638,BOYACA,SACHICA,7,0.42857142857142855,1.0,0.0,2,5,0.42857142857142855,1.0,0.2857142857142857,1.0,142000.0,4.929577464788732,0.021570998503013125,0.42857142857142855,1.0,1.0,0.0,41.47,Media,61
25506,CUNDINAMARCA,OSPINA PEREZ (VENECIA),5,0.8,0.6,0.0,2,3,0.8,0.4,0.6,0.5,232000.0,2.155172413793103,0.009020016270415213,0.8,0.75,0.6,0.0,41.32,Media,62
91460,AMAZONAS,MIRITI PARANA (CD),4,0.5,0.75,0.0,0,4,0.5,0.5,1.0,1.0,52000.0,7.6923076923076925,0.034069165627747894,0.5,1.0,0.75,0.0,41.19,Media,63
08421,ATLANTICO,LURUACO,13,0.6153846153846154,0.5384615384615384,0.0,4,9,0.6153846153846154,0.7692307692307693,0.07692307692307693,1.0,723333.0,1.797235851260761,0.007400766249540134,0.6153846153846154,1.0,0.5384615384615384,0.0,41.03,Media,64
23574,CORDOBA,PUERTO ESCONDIDO,14,0.5,0.7857142857142857,0.0,4,10,0.5,0.7857142857142857,0.35714285714285715,1.0,317500.0,4.409448818897638,0.01921801641378948,0.5,1.0,0.7857142857142857,0.0,41.03,Media,64
41551,HUILA,PITALITO,119,0.33613445378151263,0.8739495798319328,0.0,57,62,0.3445378151260504,0.5882352941176471,0.453781512605042,0.08771929824561403,145000.0,82.06896551724138,0.3705377395101949,0.33613445378151263,0.543859649122807,0.8739495798319328,0.0,40.99,Media,66
76869,VALLE,VIJES,25,0.68,0.24,0.08,6,19,0.68,0.64,0.0,1.0,685000.0,3.649635036496351,0.015780735588634076,0.68,1.0,0.24,0.08,40.75,Media,67
68276,SANTANDER,FLORIDABLANCA,217,0.3548387096774194,0.8248847926267281,0.004608294930875576,102,115,0.3640552995391705,0.663594470046083,0.03686635944700461,0.12745098039215685,280000.0,77.5,0.3498684414177372,0.3548387096774194,0.5637254901960784,0.8248847926267281,0.004608294930875576,40.69,Media,68
73236,TOLIMA,DOLORES,5,0.6,1.0,0.0,2,3,0.6,0.8,0.4,0.5,222667.0,2.245505620500568,0.009428669820116661,0.6,0.75,1.0,0.0,40.33,Media,69
73483,TOLIMA,NATAGAIMA,8,0.625,0.75,0.0,3,5,0.625,0.875,0.375,0.6666666666666666,222667.0,3.592808992800909,0.01552366329685953,0.625,0.8333333333333333,0.75,0.0,40.33,Media,69
